City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Pak Phanang,TH,82.08,overcast clouds,8.3511,100.202,Green Park Inn Hotel
632,Ugoofaaru,MV,81.75,overcast clouds,5.6667,73.0,Ungoofaaru Inn
633,Weatherford,US,81.12,clear sky,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
637,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
643,Iturama,BR,76.93,overcast clouds,-19.7281,-50.1956,República DominaCana
644,Suarez,CO,81.45,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
651,Cartagena Del Chaira,CO,81.66,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
662,Akyab,MM,78.21,scattered clouds,20.15,92.9,Hotel Memory
668,Padang,ID,75.79,overcast clouds,-0.9492,100.3543,Mercure Padang
671,Acapulco,MX,83.44,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
673,Lae,PG,75.18,overcast clouds,-6.7221,146.9847,Phils Hotel
674,Anupgarh,IN,77.54,clear sky,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
675,Bubaque,GW,82.45,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
678,Trairi,BR,83.7,few clouds,-3.2778,-39.2689,janelas do mar
683,Ca Mau,VN,76.93,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
