City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Mozarlandia,BR,-14.7447,-50.5706,88.38,48,78,8.95,broken clouds
148,Lebu,CL,-37.6167,-73.65,58.21,76,99,9.28,overcast clouds
149,Velasco Ibarra,EC,-1.05,-79.6167,87.1,53,86,4.99,overcast clouds
150,Shemgang,BT,27.2169,90.6579,45.05,90,38,4.83,scattered clouds
151,Maragogi,BR,-9.0122,-35.2225,80.64,66,15,9.17,few clouds
152,Lavrentiya,RU,65.5833,-171.0,12.87,80,3,11.74,clear sky
153,Sungurlare,BG,42.7667,26.7833,55.62,74,100,3.18,overcast clouds
154,Novopokrovka,UA,49.8425,36.5477,39.58,57,0,6.89,clear sky
155,Broome,US,42.2506,-75.833,56.7,81,90,5.01,overcast clouds
156,Airai,TL,-8.9266,125.4092,60.42,85,78,1.48,broken clouds
157,Kavieng,PG,-2.5744,150.7967,81.91,78,83,16.42,light rain
158,Adzope,CI,6.1069,-3.8619,75.63,88,57,3.09,broken clouds
159,Sapiranga,BR,-29.6381,-51.0069,85.68,65,88,2.82,overcast clouds
160,Inhambane,MZ,-23.865,35.3833,69.78,88,0,0.0,clear sky
161,Bethel,US,41.3712,-73.414,65.19,71,75,1.01,broken clouds
162,Skelleftea,SE,64.7507,20.9528,39.56,100,90,5.75,mist
163,Korla,CN,41.7597,86.1469,47.88,43,25,1.88,scattered clouds
164,Lexington,US,37.9887,-84.4777,61.12,62,75,1.99,broken clouds
165,Kavaratti,IN,10.5669,72.642,81.46,79,100,3.65,overcast clouds
166,Pangoa,PE,-12.1167,-73.0,83.03,63,97,1.32,overcast clouds
167,Kodiak,US,57.79,-152.4072,44.11,93,90,9.22,light rain
168,Caraquet,CA,47.7941,-64.9386,50.58,97,100,19.33,heavy intensity rain
169,Isabela,PH,6.7085,121.9711,78.85,87,100,8.43,overcast clouds
170,Kikwit,CD,-5.041,18.8162,69.8,98,100,1.48,light rain
171,Puerto Colombia,CO,10.9878,-74.9547,87.89,78,99,4.94,overcast clouds
172,Faya,SA,18.3851,42.4509,64.92,49,7,8.28,clear sky
173,Opuwo,NA,-18.0607,13.84,74.55,18,8,11.12,clear sky
174,Alice Springs,AU,-23.7,133.8833,56.75,94,75,5.75,broken clouds
175,Alugan,PH,12.2188,125.4808,79.97,83,94,12.08,overcast clouds
176,Myaundzha,RU,63.0494,147.1858,-19.55,99,54,2.13,broken clouds
177,Kazanskoye,RU,55.6448,69.235,27.63,84,100,7.83,overcast clouds
178,Kodinsk,RU,58.6881,99.1844,28.27,96,100,4.16,light snow
179,Praxedis Guerrero,MX,31.3667,-106.0167,78.28,20,100,3.4,overcast clouds
180,Castro,BR,-24.7911,-50.0119,61.14,95,100,6.08,light rain
181,Auka,HN,14.9333,-83.8333,84.09,64,100,8.01,overcast clouds
182,Visby,SE,57.6409,18.296,50.86,100,90,8.05,fog
183,Udachnyy,RU,66.4167,112.4,9.39,83,100,17.07,overcast clouds
184,Hermanus,ZA,-34.4187,19.2345,62.91,82,100,10.67,overcast clouds
185,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,57,0,14.97,clear sky
186,Tiksi,RU,71.6872,128.8694,17.6,85,100,16.42,overcast clouds
187,Nova Olimpia,BR,-14.7972,-57.2881,78.67,77,100,6.08,overcast clouds
188,Ponta Delgada,PT,37.7333,-25.6667,72.5,88,20,12.66,light rain
189,Ust-Koksa,RU,50.2696,85.6108,31.35,88,100,8.3,light snow
190,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,100,13.38,light rain
191,Kuching,MY,1.55,110.3333,77.22,94,20,1.14,moderate rain
192,George Town,MY,5.4112,100.3354,79.9,88,20,1.99,few clouds
193,Portland,US,45.5234,-122.6762,60.64,43,75,1.01,broken clouds
194,Atambua,ID,-9.1061,124.8925,75.29,84,85,1.66,overcast clouds
