City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,North Platte,US,2021-10-28 18:38:44,41.1239,-100.7654,57.09,30,1,17.0
152,Fiumicino,IT,2021-10-28 18:38:44,41.7675,12.2291,64.04,82,0,2.3
153,Kieta,PG,2021-10-28 18:38:44,-6.2167,155.6333,80.37,79,61,3.53
154,Rawdon,CA,2021-10-28 18:33:47,46.0501,-73.7159,51.35,52,4,11.45
155,Qianan,CN,2021-10-28 18:38:45,44.9932,124.0581,42.46,52,0,8.52
156,Wageningen,NL,2021-10-28 18:38:45,51.9667,5.6667,56.86,82,2,11.5
157,Chuy,UY,2021-10-28 18:38:46,-33.6971,-53.4616,76.66,53,0,11.9
158,Honiara,SB,2021-10-28 18:38:46,-9.4333,159.95,77.11,84,26,4.99
159,Olafsvik,IS,2021-10-28 18:38:46,64.8945,-23.7142,41.68,89,82,31.83
160,Tiksi,RU,2021-10-28 18:37:26,71.6872,128.8694,11.44,96,100,4.72
161,Guasdualito,VE,2021-10-28 18:38:47,7.2424,-70.7324,79.63,85,85,3.56
162,Mar Del Plata,AR,2021-10-28 18:34:57,-38.0023,-57.5575,93.22,84,0,13.0
163,Chimbote,PE,2021-10-28 18:38:47,-9.0853,-78.5783,68.23,74,99,9.89
164,Tvoroyri,FO,2021-10-28 18:38:47,61.5556,-6.8111,49.39,88,5,23.62
165,Avarua,CK,2021-10-28 18:35:24,-21.2078,-159.775,73.45,73,13,12.66
166,Jambi,ID,2021-10-28 18:38:48,-1.6,103.6167,75.69,95,100,2.04
167,Arraial Do Cabo,BR,2021-10-28 18:38:48,-22.9661,-42.0278,76.96,83,75,13.8
168,Thompson,CA,2021-10-28 18:38:49,55.7435,-97.8558,39.36,93,90,11.5
169,Suntar,RU,2021-10-28 18:38:49,62.1444,117.6319,22.48,68,100,13.91
170,La Baneza,ES,2021-10-28 18:38:50,42.3003,-5.8977,57.79,46,100,16.67
171,Lasa,IT,2021-10-28 18:38:50,46.6166,10.7002,47.28,49,7,3.83
172,Sohag,EG,2021-10-28 18:38:50,26.557,31.6948,80.89,17,100,7.96
173,Puerto Ayora,EC,2021-10-28 18:38:51,-0.7393,-90.3518,76.96,87,24,5.01
174,Rocha,UY,2021-10-28 18:38:51,-34.4833,-54.3333,82.67,49,0,10.54
175,San Andres,CO,2021-10-28 18:38:51,12.5847,-81.7006,87.82,74,75,4.61
176,Asilah,MA,2021-10-28 18:38:52,35.465,-6.0348,67.96,70,5,6.87
177,Victoria,HK,2021-10-28 18:34:31,22.2855,114.1577,77.38,85,69,5.01
178,Hilo,US,2021-10-28 18:38:52,19.7297,-155.09,84.27,67,1,3.44
179,Srandakan,ID,2021-10-28 18:38:53,-7.9386,110.2506,77.74,90,100,4.47
180,Chokurdakh,RU,2021-10-28 18:38:53,70.6333,147.9167,-9.29,96,90,4.09
181,Carnarvon,AU,2021-10-28 18:38:53,-24.8667,113.6333,64.47,63,0,18.41
182,Tocache,PE,2021-10-28 18:38:54,-8.1842,-76.5125,88.66,53,96,3.85
183,Vetluga,RU,2021-10-28 18:38:54,57.8557,45.781,28.26,75,13,9.89
